TargetUser,OtherUser,Similarity,CommonItems,DiscountFactor,DiscountedSimilarity
A1ER5AYS3FQ9O3,A2JCJJNY43QQIV,1.0,3,0.21,0.21
A1ER5AYS3FQ9O3,AM9APPMIE1BHZ,1.0,3,0.21,0.21
A1ER5AYS3FQ9O3,A37PV5GMP2ILJC,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A259HHYBP6ZNJ3,0.99,2,0.14,0.14
A1ER5AYS3FQ9O3,A680RUE1FDO8B,0.99,2,0.14,0.14
A1ER5AYS3FQ9O3,A7EJERNB7IK3Z,0.83,2,0.14,0.12
A1ER5AYS3FQ9O3,A1S3FOP19D8W1X,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A3V6QSTG2T9MIO,0.99,2,0.14,0.14
A1ER5AYS3FQ9O3,ADLVFFE4VBT8,0.99,2,0.14,0.14
A1ER5AYS3FQ9O3,A1VQHH85U7PX0,0.99,2,0.14,0.14
A1ER5AYS3FQ9O3,A1KZMSXC9JOI7Q,0.99,2,0.14,0.14
A1ER5AYS3FQ9O3,A3CW0ZLUO5X2B1,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A3HRDRQ5VAFPQS,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A2WB7LZ595CR50,0.94,2,0.14,0.13
A1ER5AYS3FQ9O3,A3OXHLG6DIBRW8,0.99,3,0.21,0.21
A1ER5AYS3FQ9O3,ASY25YMTIC2A9,0.99,3,0.21,0.21
A1ER5AYS3FQ9O3,AHNHLGKIZ2N3B,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A3V6Z4RCDGRC44,0.97,3,0.21,0.21
A1ER5AYS3FQ9O3,A235UFZGCFN3J5,0.99,2,0.14,0.14
A1ER5AYS3FQ9O3,AGA7LFNS3YUXC,0.99,2,0.14,0.14
A1ER5AYS3FQ9O3,A19W47CXJJP1MI,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,AWPODHOB4GFWL,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A10ZBR6O8S8OCY,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A20DDH4NT6Q1E8,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A32O5FZH994CNY,0.98,3,0.21,0.21
A1ER5AYS3FQ9O3,A35X2JJI49OBZP,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A2PSC7LUNIDEAH,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A1VLVWTLV3LVHR,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A2P4YA02LH6N12,0.97,2,0.14,0.14
A1ER5AYS3FQ9O3,AFFVUZEGP1FDQ,0.99,2,0.14,0.14
A1ER5AYS3FQ9O3,A1U7LS93I03MFW,0.98,2,0.14,0.14
A1ER5AYS3FQ9O3,AMRMK86X3PKXD,0.98,2,0.14,0.14
A1ER5AYS3FQ9O3,AYNAH993VDECT,0.99,2,0.14,0.14
