TargetUser,OtherUser,Similarity,CommonItems,DiscountFactor,DiscountedSimilarity
A1ER5AYS3FQ9O3,A3R19YKNL641X3,0.98,4,0.29,0.28
A1ER5AYS3FQ9O3,A2JCJJNY43QQIV,1.0,3,0.21,0.21
A1ER5AYS3FQ9O3,A3OXHLG6DIBRW8,0.99,3,0.21,0.21
A1ER5AYS3FQ9O3,AM9APPMIE1BHZ,1.0,3,0.21,0.21
A1ER5AYS3FQ9O3,A240FRPD4MEXND,0.99,3,0.21,0.21
A1ER5AYS3FQ9O3,A2CVXUY1EYQGGA,1.0,3,0.21,0.21
A1ER5AYS3FQ9O3,AE12AEJFCOGGY,0.99,3,0.21,0.21
A1ER5AYS3FQ9O3,A32O5FZH994CNY,0.98,3,0.21,0.21
A1ER5AYS3FQ9O3,A3V6Z4RCDGRC44,0.97,3,0.21,0.21
A1ER5AYS3FQ9O3,A1D6PWUMDY9F7V,0.96,3,0.21,0.21
A1ER5AYS3FQ9O3,ASY25YMTIC2A9,0.99,3,0.21,0.21
A1ER5AYS3FQ9O3,AWPN47SSWK1JV,1.0,3,0.21,0.21
A1ER5AYS3FQ9O3,A3AYSYSLHU26U9,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A2GP6XJ1V3MM3L,0.99,2,0.14,0.14
A1ER5AYS3FQ9O3,A2YPB8IOEU10XJ,0.99,2,0.14,0.14
A1ER5AYS3FQ9O3,A5K5DIDKAML5C,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A1AL4V6YVM9OHS,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A316XO4RWX21YN,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A2RUN9WBD5H23R,0.98,2,0.14,0.14
A1ER5AYS3FQ9O3,AJKWF4W7QD4NS,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A1KEK09ZA6J9P8,1.0,2,0.14,0.14
