TargetUser,OtherUser,Similarity,CommonItems,TargetUserTotalItems,OtherUserTotalItems
A1ER5AYS3FQ9O3,A2JCJJNY43QQIV,1.0,3,44,112
A1ER5AYS3FQ9O3,AM9APPMIE1BHZ,1.0,3,44,50
A1ER5AYS3FQ9O3,A37PV5GMP2ILJC,1.0,2,44,44
A1ER5AYS3FQ9O3,A1S3FOP19D8W1X,1.0,2,44,46
A1ER5AYS3FQ9O3,A3CW0ZLUO5X2B1,1.0,2,44,345
A1ER5AYS3FQ9O3,A3HRDRQ5VAFPQS,1.0,2,44,89
A1ER5AYS3FQ9O3,AHNHLGKIZ2N3B,1.0,2,44,51
A1ER5AYS3FQ9O3,A19W47CXJJP1MI,1.0,2,44,163
A1ER5AYS3FQ9O3,AWPODHOB4GFWL,1.0,2,44,351
A1ER5AYS3FQ9O3,A10ZBR6O8S8OCY,1.0,2,44,118
A1ER5AYS3FQ9O3,A20DDH4NT6Q1E8,1.0,2,44,106
A1ER5AYS3FQ9O3,A35X2JJI49OBZP,1.0,2,44,101
A1ER5AYS3FQ9O3,A2PSC7LUNIDEAH,1.0,2,44,62
A1ER5AYS3FQ9O3,A1VLVWTLV3LVHR,1.0,2,44,108
A1ER5AYS3FQ9O3,A1Q7A78VSQ5GQ4,1.0,2,44,35
A1ER5AYS3FQ9O3,A2NICGGIGIFU22,1.0,2,44,12
A1ER5AYS3FQ9O3,A2WZAANHW8G0P8,1.0,2,44,2
A1ER5AYS3FQ9O3,AB3D3IQZCMGDL,1.0,2,44,2
A1ER5AYS3FQ9O3,A2DPSV4CTHV3YA,1.0,2,44,3
A1ER5AYS3FQ9O3,A1P1UEH9PMSHXG,1.0,2,44,14
A1ER5AYS3FQ9O3,A36JO8IHKYBMMJ,1.0,2,44,35
A1ER5AYS3FQ9O3,A1F92EK0MUNOVR,1.0,2,44,45
A1ER5AYS3FQ9O3,A3PEOF0GX4EN38,1.0,2,44,80
A1ER5AYS3FQ9O3,A3AUL23GMCOP2A,1.0,2,44,27
A1ER5AYS3FQ9O3,AWPN47SSWK1JV,1.0,3,44,82
A1ER5AYS3FQ9O3,A22TR1K73XLREH,1.0,2,44,5
A1ER5AYS3FQ9O3,A1WY0YUS6QUQZ1,1.0,2,44,4
A1ER5AYS3FQ9O3,A16YMCFWGSFGS9,1.0,2,44,58
A1ER5AYS3FQ9O3,A3HDUVH6N1CCF1,1.0,2,44,13
A1ER5AYS3FQ9O3,ABK0V7DLYO5NU,1.0,2,44,4
A1ER5AYS3FQ9O3,A32WDBGM8L5WBR,1.0,2,44,23
A1ER5AYS3FQ9O3,AL4SB31UAZLXL,1.0,2,44,28
A1ER5AYS3FQ9O3,A1KEK09ZA6J9P8,1.0,2,44,16
A1ER5AYS3FQ9O3,AJKWF4W7QD4NS,1.0,2,44,4
A1ER5AYS3FQ9O3,A316XO4RWX21YN,1.0,2,44,87
A1ER5AYS3FQ9O3,A1AL4V6YVM9OHS,1.0,2,44,7
A1ER5AYS3FQ9O3,A5K5DIDKAML5C,1.0,2,44,35
A1ER5AYS3FQ9O3,A2CVXUY1EYQGGA,1.0,3,44,47
A1ER5AYS3FQ9O3,A36AIK1DQPSRNT,1.0,2,44,26
A1ER5AYS3FQ9O3,A28N2AWOVO2PB,1.0,2,44,73
A1ER5AYS3FQ9O3,A1H37RIL09BS4D,1.0,2,44,2
A1ER5AYS3FQ9O3,A1XDMYX8QOW07N,1.0,2,44,49
A1ER5AYS3FQ9O3,A19YOYY7FLQMA6,1.0,2,44,22
A1ER5AYS3FQ9O3,A2CWIYIETNBAK3,1.0,2,44,51
A1ER5AYS3FQ9O3,A11B61QBGHLQDN,1.0,2,44,33
A1ER5AYS3FQ9O3,A1484U2Y4YFX2R,1.0,2,44,13
A1ER5AYS3FQ9O3,A32GK89C999834,1.0,2,44,4
A1ER5AYS3FQ9O3,A18DQ9ZJOPUWCO,1.0,2,44,13
A1ER5AYS3FQ9O3,A3OFR6PMLQZXGQ,1.0,2,44,3
A1ER5AYS3FQ9O3,A3LY8LCT1QE8I1,1.0,2,44,10
A1ER5AYS3FQ9O3,ARC41G0OK4HA5,1.0,2,44,4
A1ER5AYS3FQ9O3,A3AYSYSLHU26U9,1.0,2,44,359
A1ER5AYS3FQ9O3,A3AWV00ZU7MSK1,1.0,2,44,23
