TargetUser,OtherUser,MeanCenteredSimilarity,CommonItems
A1ER5AYS3FQ9O3,A2JCJJNY43QQIV,1.0,3
A1ER5AYS3FQ9O3,A3LY8LCT1QE8I1,1.0,2
A1ER5AYS3FQ9O3,A19W47CXJJP1MI,1.0,2
A1ER5AYS3FQ9O3,A2DPSV4CTHV3YA,1.0,2
A1ER5AYS3FQ9O3,A35X2JJI49OBZP,1.0,2
A1ER5AYS3FQ9O3,A2PSC7LUNIDEAH,1.0,2
A1ER5AYS3FQ9O3,A3AYSYSLHU26U9,1.0,2
A1ER5AYS3FQ9O3,A3AUL23GMCOP2A,1.0,2
A1ER5AYS3FQ9O3,AM9APPMIE1BHZ,1.0,3
A1ER5AYS3FQ9O3,ABK0V7DLYO5NU,1.0,2
A1ER5AYS3FQ9O3,A3PEOF0GX4EN38,1.0,2
A1ER5AYS3FQ9O3,A1F92EK0MUNOVR,1.0,2
A1ER5AYS3FQ9O3,A1Q7A78VSQ5GQ4,1.0,2
A1ER5AYS3FQ9O3,A2CWIYIETNBAK3,1.0,2
A1ER5AYS3FQ9O3,A11B61QBGHLQDN,1.0,2
A1ER5AYS3FQ9O3,A18DQ9ZJOPUWCO,1.0,2
A1ER5AYS3FQ9O3,A3HDUVH6N1CCF1,1.0,2
A1ER5AYS3FQ9O3,AWPODHOB4GFWL,1.0,2
A1ER5AYS3FQ9O3,AHNHLGKIZ2N3B,1.0,2
A1ER5AYS3FQ9O3,A3CW0ZLUO5X2B1,1.0,2
A1ER5AYS3FQ9O3,A316XO4RWX21YN,1.0,2
