TargetUser,OtherUser,MeanCenteredSimilarity,CommonItems,DiscountFactor,DiscountedSimilarity
A1ER5AYS3FQ9O3,A2JCJJNY43QQIV,1.0,3,0.21,0.21
A1ER5AYS3FQ9O3,AM9APPMIE1BHZ,1.0,3,0.21,0.21
A1ER5AYS3FQ9O3,A2CVXUY1EYQGGA,0.98,3,0.21,0.21
A1ER5AYS3FQ9O3,AWPN47SSWK1JV,0.96,3,0.21,0.21
A1ER5AYS3FQ9O3,ASY25YMTIC2A9,0.74,3,0.21,0.16
A1ER5AYS3FQ9O3,A3R19YKNL641X3,0.57,4,0.29,0.16
A1ER5AYS3FQ9O3,A2CWIYIETNBAK3,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A1F92EK0MUNOVR,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A1Q7A78VSQ5GQ4,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A2QDOJFFLFGF18,0.97,2,0.14,0.14
A1ER5AYS3FQ9O3,A28YUFBI33QZ28,0.97,2,0.14,0.14
A1ER5AYS3FQ9O3,A240FRPD4MEXND,0.66,3,0.21,0.14
A1ER5AYS3FQ9O3,A3AUL23GMCOP2A,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A3LY8LCT1QE8I1,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A11B61QBGHLQDN,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A18DQ9ZJOPUWCO,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A3AYSYSLHU26U9,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A2PSC7LUNIDEAH,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A35X2JJI49OBZP,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A3PEOF0GX4EN38,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,AWPODHOB4GFWL,1.0,2,0.14,0.14
