TargetUser,OtherUser,Similarity,CommonItems,MeanCenteredSimilarity
A1ER5AYS3FQ9O3,A37PV5GMP2ILJC,1.0,2,-1.0
A1ER5AYS3FQ9O3,A10ZBR6O8S8OCY,1.0,2,-1.0
A1ER5AYS3FQ9O3,A20DDH4NT6Q1E8,1.0,2,-1.0
A1ER5AYS3FQ9O3,A1VLVWTLV3LVHR,1.0,2,-1.0
A1ER5AYS3FQ9O3,A2NICGGIGIFU22,1.0,2,-1.0
A1ER5AYS3FQ9O3,A1P1UEH9PMSHXG,1.0,2,-1.0
A1ER5AYS3FQ9O3,A36JO8IHKYBMMJ,1.0,2,-1.0
A1ER5AYS3FQ9O3,A1WY0YUS6QUQZ1,1.0,2,-1.0
A1ER5AYS3FQ9O3,AL4SB31UAZLXL,1.0,2,-1.0
A1ER5AYS3FQ9O3,A1KEK09ZA6J9P8,1.0,2,-1.0
A1ER5AYS3FQ9O3,A1AL4V6YVM9OHS,1.0,2,-1.0
A1ER5AYS3FQ9O3,A5K5DIDKAML5C,1.0,2,-1.0
A1ER5AYS3FQ9O3,A1484U2Y4YFX2R,1.0,2,-1.0
A1ER5AYS3FQ9O3,A32GK89C999834,1.0,2,-1.0
A1ER5AYS3FQ9O3,ARC41G0OK4HA5,1.0,2,-1.0
