TargetUser,OtherUser,PearsonSimilarity,CommonItems
A1ER5AYS3FQ9O3,AAP7PPBU72QFM,0.0,1
A1ER5AYS3FQ9O3,AIMPBO9K5SQ5X,0.0,1
A1ER5AYS3FQ9O3,A2QCVDCCZ3ABAC,0.0,1
A1ER5AYS3FQ9O3,A1C0Y8AFKTIRWY,0.0,1
A1ER5AYS3FQ9O3,A3M96C2MSACALP,0.0,1
A1ER5AYS3FQ9O3,A3JNMQZ0EUZVGY,0.0,1
A1ER5AYS3FQ9O3,A28EC1YY62SVRQ,0.0,1
A1ER5AYS3FQ9O3,A3DDTW92Y8VGGV,0.0,1
A1ER5AYS3FQ9O3,AE54CQG4THB7Y,0.0,1
A1ER5AYS3FQ9O3,A1O7WUHVV5HH53,0.0,1
A1ER5AYS3FQ9O3,AMAHN50UWYB9Y,0.0,1
A1ER5AYS3FQ9O3,A1DOWPEELWQ7AO,0.0,1
A1ER5AYS3FQ9O3,A2E168DTVGE6SV,0.0,1
A1ER5AYS3FQ9O3,A1ARTNPA3VALD3,0.0,1
A1ER5AYS3FQ9O3,A3ELN7IRFZTVIO,0.0,1
A1ER5AYS3FQ9O3,A24D95RTPMGY2Z,0.0,1
A1ER5AYS3FQ9O3,A1UWHK0U1MD7L,0.0,1
A1ER5AYS3FQ9O3,AKVNQ5EJQ4STG,0.0,1
A1ER5AYS3FQ9O3,AUPYB4D77G80K,0.0,1
A1ER5AYS3FQ9O3,A35VNTKN8VW4AW,0.0,1
A1ER5AYS3FQ9O3,A3D2FEHWHKK4GY,0.0,1
A1ER5AYS3FQ9O3,A192QM9Z2QKVME,0.0,1
A1ER5AYS3FQ9O3,ATRCOW9I4MLUX,0.0,1
A1ER5AYS3FQ9O3,A1Z7RN6NDG85NC,0.0,1
A1ER5AYS3FQ9O3,AT2R7ZVT7QYOU,0.0,1
A1ER5AYS3FQ9O3,A8IPQ1Q1O7YX5,0.0,1
A1ER5AYS3FQ9O3,A1MKYJ5S1PT9LZ,0.0,1
A1ER5AYS3FQ9O3,A1ZTLBSKNSDN5D,0.0,1
A1ER5AYS3FQ9O3,A2ZBSCHHT8KFGV,0.0,1
A1ER5AYS3FQ9O3,A5P0G326AZ58X,0.0,1
A1ER5AYS3FQ9O3,A3HV0NZUZZA6BJ,0.0,1
A1ER5AYS3FQ9O3,A106016KSI0YQ,0.0,1
A1ER5AYS3FQ9O3,A2Y8VNTJE15K6F,0.0,1
A1ER5AYS3FQ9O3,A2U723LLPV2A8A,0.0,1
A1ER5AYS3FQ9O3,ARYCLXPK853K7,0.0,1
A1ER5AYS3FQ9O3,A3UDYY6L2NH3JS,0.0,1
A1ER5AYS3FQ9O3,A17I7SCJIHHZY1,0.0,1
A1ER5AYS3FQ9O3,A30KEXFT9SILL6,0.0,1
A1ER5AYS3FQ9O3,A19D816DMGI44L,0.0,1
A1ER5AYS3FQ9O3,A1T17LMQABMBN5,0.0,1
A1ER5AYS3FQ9O3,AN5RSF8TJ62NW,0.0,1
A1ER5AYS3FQ9O3,A1IWWRZJOXOSYP,0.0,1
A1ER5AYS3FQ9O3,A3QHJ0FXK33OBE,0.0,1
A1ER5AYS3FQ9O3,A2CGDQGHUN3DMM,0.0,1
A1ER5AYS3FQ9O3,A3QLL55JUBXDNT,0.0,1
A1ER5AYS3FQ9O3,A2QK7SB0J3NG59,0.0,1
A1ER5AYS3FQ9O3,A2BOZUUPBD9P3N,0.0,1
A1ER5AYS3FQ9O3,A3U5CZ3PV82JXD,0.0,1
A1ER5AYS3FQ9O3,A1X4L7AO1BXMHK,0.0,1
A1ER5AYS3FQ9O3,A1881MXNHQUV3N,0.0,1
A1ER5AYS3FQ9O3,A21T769FJAJIYM,0.0,1
A1ER5AYS3FQ9O3,A3A84C8X530RHK,0.0,1
A1ER5AYS3FQ9O3,A2JCJJNY43QQIV,0.0,3
A1ER5AYS3FQ9O3,AT3FXRUH0EHDF,0.0,1
A1ER5AYS3FQ9O3,A216NSW58Q3SCJ,0.0,1
A1ER5AYS3FQ9O3,AM9APPMIE1BHZ,1.0,3
A1ER5AYS3FQ9O3,A3U029B8Z5WGI2,0.0,1
A1ER5AYS3FQ9O3,ABJWJOYBE3GXU,0.0,1
A1ER5AYS3FQ9O3,A1VM0DU10K0DE6,0.0,1
A1ER5AYS3FQ9O3,AKUNHU70LFK6E,0.0,1
A1ER5AYS3FQ9O3,AA24EMYGLX593,0.0,1
A1ER5AYS3FQ9O3,AHKKH5P9OXXMG,0.0,1
A1ER5AYS3FQ9O3,A1EDI0X3GI1SK7,0.0,1
A1ER5AYS3FQ9O3,A39PZJCRS98E6P,0.0,1
A1ER5AYS3FQ9O3,A3QWX5JS0STCHS,0.0,1
A1ER5AYS3FQ9O3,A3S401I3Q1L71D,0.0,1
A1ER5AYS3FQ9O3,A1684AUMDYVLFU,0.0,1
A1ER5AYS3FQ9O3,A15HSLR9621IWX,0.0,1
A1ER5AYS3FQ9O3,A236KGVAXHTGUA,0.0,1
A1ER5AYS3FQ9O3,A39D3TK7V8UZX5,0.0,1
A1ER5AYS3FQ9O3,A1AQU5XF9GP4SB,0.0,1
A1ER5AYS3FQ9O3,A31WVMJQQPV75L,0.0,1
A1ER5AYS3FQ9O3,AOY9SZTMNQWAW,0.0,1
A1ER5AYS3FQ9O3,A3PD8JD9L4WEII,0.0,1
A1ER5AYS3FQ9O3,A2XIOXRRYX0KZY,0.0,1
A1ER5AYS3FQ9O3,ALT0QX5PLL633,0.0,1
A1ER5AYS3FQ9O3,A89ZZKNDFQH23,0.0,1
A1ER5AYS3FQ9O3,AMGGZCWY3VNZC,0.0,1
A1ER5AYS3FQ9O3,A2GHD63RBPJ0N4,0.0,1
A1ER5AYS3FQ9O3,A2RZVK7L2YW2YY,0.0,1
A1ER5AYS3FQ9O3,A2JMI16ZBVNJHO,0.0,1
A1ER5AYS3FQ9O3,AAG0O8X2PYE6G,0.0,1
