TargetUser,OtherUser,PearsonSimilarity,CommonItems
A1ER5AYS3FQ9O3,AWPN47SSWK1JV,1.0,3
A1ER5AYS3FQ9O3,A3SEBFKE82AFF0,1.0,2
A1ER5AYS3FQ9O3,A19YOYY7FLQMA6,1.0,2
A1ER5AYS3FQ9O3,AM9APPMIE1BHZ,1.0,3
A1ER5AYS3FQ9O3,A2QDOJFFLFGF18,1.0,2
A1ER5AYS3FQ9O3,A2CVXUY1EYQGGA,1.0,3
A1ER5AYS3FQ9O3,A16YMCFWGSFGS9,1.0,2
A1ER5AYS3FQ9O3,A240FRPD4MEXND,1.0,3
A1ER5AYS3FQ9O3,A3V6Z4RCDGRC44,1.0,3
A1ER5AYS3FQ9O3,A1VQHH85U7PX0,1.0,2
A1ER5AYS3FQ9O3,A1U7LS93I03MFW,1.0,2
A1ER5AYS3FQ9O3,A28YUFBI33QZ28,1.0,2
A1ER5AYS3FQ9O3,A32WDBGM8L5WBR,1.0,2
A1ER5AYS3FQ9O3,ASY25YMTIC2A9,0.87,3
A1ER5AYS3FQ9O3,A3R19YKNL641X3,0.58,4
A1ER5AYS3FQ9O3,A2GP6XJ1V3MM3L,0.0,2
A1ER5AYS3FQ9O3,ABK0V7DLYO5NU,0.0,2
A1ER5AYS3FQ9O3,AL4SB31UAZLXL,0.0,2
A1ER5AYS3FQ9O3,A3HDUVH6N1CCF1,0.0,2
A1ER5AYS3FQ9O3,A1KEK09ZA6J9P8,0.0,2
A1ER5AYS3FQ9O3,AJKWF4W7QD4NS,0.0,2
