TargetUser,OtherUser,PearsonSimilarity,CommonItems,DiscountFactor,DiscountedSimilarity
A1ER5AYS3FQ9O3,A2CVXUY1EYQGGA,1.0,3,0.21,0.21
A1ER5AYS3FQ9O3,A1VQHH85U7PX0,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A2QDOJFFLFGF18,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A19YOYY7FLQMA6,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,AWPN47SSWK1JV,1.0,3,0.21,0.21
A1ER5AYS3FQ9O3,A240FRPD4MEXND,1.0,3,0.21,0.21
A1ER5AYS3FQ9O3,A3V6Z4RCDGRC44,1.0,3,0.21,0.21
A1ER5AYS3FQ9O3,A32WDBGM8L5WBR,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A3SEBFKE82AFF0,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A16YMCFWGSFGS9,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,AM9APPMIE1BHZ,1.0,3,0.21,0.21
A1ER5AYS3FQ9O3,A3R19YKNL641X3,0.58,4,0.29,0.17
A1ER5AYS3FQ9O3,A28YUFBI33QZ28,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,ASY25YMTIC2A9,0.87,3,0.21,0.19
A1ER5AYS3FQ9O3,A1U7LS93I03MFW,1.0,2,0.14,0.14
