TargetItem,OtherItem,Similarity,CommonUsers,DiscountFactor,DiscountedSimilarity
B00L38GD2W,B013XUS8WK,1.0,1,0.25,0.25
B00L38GD2W,B009657UWQ,1.0,1,0.25,0.25
B000JE4594,B000FJD5IA,1.0,1,0.11,0.11
B000JE4594,B00009V2XJ,1.0,1,0.11,0.11
B000JE4594,B013HNYVCE,1.0,1,0.11,0.11
B000JE4594,B000FNR726,1.0,1,0.11,0.11
B000JE4594,B01DCHOPA8,1.0,1,0.11,0.11
B000JE4594,B0012ANFQS,1.0,1,0.11,0.11
B000JE4594,B003S4ZJW4,1.0,1,0.11,0.11
B000JE4594,B00EZJZFDE,1.0,1,0.11,0.11
B000JE4594,B00009MVK8,1.0,1,0.11,0.11
B000JE4594,B00O93CDV8,1.0,1,0.11,0.11
B000JE4594,B0043T7FXE,1.0,1,0.11,0.11
B000JE4594,B000WXSO76,1.0,1,0.11,0.11
B000JE4594,B009GUL1VM,1.0,1,0.11,0.11
