TargetItem,OtherItem,PearsonSimilarity,CommonUsers,DiscountFactor,DiscountedSimilarity
B000JE4594,B00000J060,0.0,1,0.11,0.0
B000JE4594,B00009MVK8,0.0,1,0.11,0.0
B000JE4594,B0001656FW,0.0,1,0.11,0.0
B000JE4594,B00029U0W2,0.0,1,0.11,0.0
B000JE4594,B0002H7F3G,0.0,1,0.11,0.0
B000JE4594,B00077AA5Q,0.0,1,0.11,0.0
B000JE4594,B000EPLP3C,0.0,1,0.11,0.0
B000JE4594,B000F6SR0O,0.0,1,0.11,0.0
B000JE4594,B000FJD5IA,0.0,1,0.11,0.0
B000JE4594,B000FNR726,0.0,1,0.11,0.0
B000JE4594,B000QJGRJ8,0.0,1,0.11,0.0
B000JE4594,B000WXSO76,0.0,1,0.11,0.0
B000JE4594,B000ZLM9IA,0.0,1,0.11,0.0
B000JE4594,B0012ANFQS,0.0,1,0.11,0.0
B000JE4594,B0012JCYPC,0.0,1,0.11,0.0
B000JE4594,B0015FGXZU,0.0,1,0.11,0.0
B000JE4594,B002AUJHLG,0.0,1,0.11,0.0
B000JE4594,B002QS0J5A,0.0,1,0.11,0.0
B000JE4594,B003H10VUI,0.0,1,0.11,0.0
B000JE4594,B003RH099A,0.0,1,0.11,0.0
B000JE4594,B003S4ZJW4,0.0,1,0.11,0.0
B000JE4594,B0043T7FXE,0.0,1,0.11,0.0
B000JE4594,B004SUO1QM,0.0,1,0.11,0.0
B000JE4594,B004ULPF50,0.0,1,0.11,0.0
B000JE4594,B005DWHR60,0.0,1,0.11,0.0
B000JE4594,B005HMKKH4,0.0,1,0.11,0.0
B000JE4594,B0067I4Z4Q,0.0,1,0.11,0.0
B000JE4594,B006YLYYZ6,0.0,1,0.11,0.0
B000JE4594,B00752R9SW,0.0,1,0.11,0.0
B000JE4594,B00839TQIM,0.0,1,0.11,0.0
B000JE4594,B008B6OOG6,0.0,1,0.11,0.0
B000JE4594,B009GUL1VM,0.0,1,0.11,0.0
B000JE4594,B00AM0ESC4,0.0,1,0.11,0.0
B000JE4594,B00B86IKXO,0.0,1,0.11,0.0
B000JE4594,B00BLTED70,0.0,1,0.11,0.0
B000JE4594,B00BVUNZUU,0.0,1,0.11,0.0
B000JE4594,B00C30HUQ2,0.0,1,0.11,0.0
B000JE4594,B00EZJZFDE,0.0,1,0.11,0.0
B000JE4594,B00FSB799Q,0.0,1,0.11,0.0
B000JE4594,B00I8Y6V9E,0.0,1,0.11,0.0
B000JE4594,B00ID2HGP4,0.0,1,0.11,0.0
B000JE4594,B00JGUR88C,0.0,1,0.11,0.0
B000JE4594,B00O93CDV8,0.0,1,0.11,0.0
B000JE4594,B00TQYC9PA,0.0,1,0.11,0.0
B000JE4594,B00VRC6U2C,0.0,1,0.11,0.0
B000JE4594,B00XIHAHKA,0.0,1,0.11,0.0
B000JE4594,B00ZOI31K4,0.0,1,0.11,0.0
B000JE4594,B013HNYVCE,0.0,1,0.11,0.0
B000JE4594,B013XDWTKY,0.0,1,0.11,0.0
B000JE4594,B019U00D7K,0.0,1,0.11,0.0
B000JE4594,B019VM3GKI,0.0,1,0.11,0.0
B000JE4594,B01DCHOPA8,0.0,1,0.11,0.0
B000JE4594,B01DOHXWRS,0.0,1,0.11,0.0
B000JE4594,B01ESSDBL4,0.0,1,0.11,0.0
B000JE4594,B00005LCFZ,0.0,1,0.11,0.0
B000JE4594,B00009V2XJ,0.0,1,0.11,0.0
B000JE4594,B000CJ480C,0.0,1,0.11,0.0
B000JE4594,B00009A39F,0.0,1,0.11,0.0
B000JE4594,B0002GV7J0,0.0,1,0.11,0.0
B000JE4594,B0009EJ9X6,0.0,1,0.11,0.0
B000JE4594,B003AVMZ5Y,0.0,1,0.11,0.0
B000JE4594,B00919TRF0,0.0,1,0.11,0.0
B000JE4594,B00A9WVXUK,0.0,1,0.11,0.0
B000JE4594,B00AMRS0YE,0.0,1,0.11,0.0
B000JE4594,B01HFZ5KRA,0.0,1,0.11,0.0
B00L38GD2W,B000CSSHG4,0.0,1,0.25,0.0
B00L38GD2W,B000R9BMVU,0.0,1,0.25,0.0
B00L38GD2W,B005KELQEU,0.0,1,0.25,0.0
B00L38GD2W,B009657UWQ,0.0,1,0.25,0.0
B00L38GD2W,B00HWOUQVU,0.0,1,0.25,0.0
B00L38GD2W,B00OLFNJXA,0.0,1,0.25,0.0
B00L38GD2W,B014IM5QXG,0.0,1,0.25,0.0
B00L38GD2W,B013XUS8WK,0.0,1,0.25,0.0
