TargetItem,OtherItem,PearsonSimilarity,CommonUsers,DiscountFactor,DiscountedSimilarity
B00L38GD2W,B000CSSHG4,0.0,1,0.25,0.0
B00L38GD2W,B000R9BMVU,0.0,1,0.25,0.0
B000JE4594,B00XIHAHKA,0.0,1,0.11,0.0
B000JE4594,B00I8Y6V9E,0.0,1,0.11,0.0
B000JE4594,B00FSB799Q,0.0,1,0.11,0.0
B000JE4594,B00EZJZFDE,0.0,1,0.11,0.0
B000JE4594,B00ID2HGP4,0.0,1,0.11,0.0
B000JE4594,B00B86IKXO,0.0,1,0.11,0.0
B000JE4594,B00TQYC9PA,0.0,1,0.11,0.0
B000JE4594,B00O93CDV8,0.0,1,0.11,0.0
B000JE4594,B00VRC6U2C,0.0,1,0.11,0.0
B000JE4594,B00BVUNZUU,0.0,1,0.11,0.0
B000JE4594,B00000J060,0.0,1,0.11,0.0
B000JE4594,B00JGUR88C,0.0,1,0.11,0.0
B000JE4594,B00C30HUQ2,0.0,1,0.11,0.0
