TargetUser,ClusterID,OtherUser,Similarity,CommonItems
A1ER5AYS3FQ9O3,1,AIMPBO9K5SQ5X,-1.0,1
A1ER5AYS3FQ9O3,1,ATRCOW9I4MLUX,1.0,1
A1ER5AYS3FQ9O3,1,A1X4L7AO1BXMHK,-1.0,1
A1ER5AYS3FQ9O3,1,A3A84C8X530RHK,1.0,1
A1ER5AYS3FQ9O3,1,A2JCJJNY43QQIV,1.0000000000000002,3
A1ER5AYS3FQ9O3,1,AM9APPMIE1BHZ,0.999472659937582,3
A1ER5AYS3FQ9O3,1,A3U029B8Z5WGI2,-1.0,1
A1ER5AYS3FQ9O3,1,A39PZJCRS98E6P,1.0,1
A1ER5AYS3FQ9O3,1,A3S401I3Q1L71D,-1.0,1
A1ER5AYS3FQ9O3,1,A3PD8JD9L4WEII,-1.0,1
A1ER5AYS3FQ9O3,1,A2XIOXRRYX0KZY,-1.0,1
A1ER5AYS3FQ9O3,1,A2GHD63RBPJ0N4,-1.0,1
A1ER5AYS3FQ9O3,1,AAG0O8X2PYE6G,1.0,1
A1ER5AYS3FQ9O3,1,A33H0WC9MI8OVW,1.0,1
A1ER5AYS3FQ9O3,1,A12DQZKRKTNF5E,1.0,1
A1ER5AYS3FQ9O3,1,A1QNYLBG73QRNF,1.0,1
A1ER5AYS3FQ9O3,1,A5GPH59NDWJRB,1.0,1
A1ER5AYS3FQ9O3,1,A29XHYH7Z6H5I5,1.0,1
A1ER5AYS3FQ9O3,1,A20GBCEU1N99Z6,1.0,1
A1ER5AYS3FQ9O3,1,A1OGCPMSIVK7G4,1.0,1
A1ER5AYS3FQ9O3,1,A1ODOGXEYECQQ8,1.0,1
A1ER5AYS3FQ9O3,1,A3PY3EVME0IBDB,-1.0,1
A1ER5AYS3FQ9O3,1,A7EJERNB7IK3Z,-0.521450009453975,2
A1ER5AYS3FQ9O3,1,A2T049UQONS0OY,-1.0,1
A1ER5AYS3FQ9O3,1,A1T1YSCDW0PD25,1.0,1
A1ER5AYS3FQ9O3,1,A2OBDNQ5ZYU1L8,1.0,1
A1ER5AYS3FQ9O3,1,A1AZ3AZ8I5DQ3,-1.0,1
A1ER5AYS3FQ9O3,1,A11HMUYEDUOLAI,1.0,1
A1ER5AYS3FQ9O3,1,AHE4RU04NVDHR,-1.0,1
A1ER5AYS3FQ9O3,1,A2QI2NTDTMK2FV,-1.0,1
A1ER5AYS3FQ9O3,1,ADLVFFE4VBT8,-0.37863284572050354,2
A1ER5AYS3FQ9O3,1,A27GITTN6AVW5I,1.0,1
A1ER5AYS3FQ9O3,1,A97ONNJDNA6EU,-1.0,1
A1ER5AYS3FQ9O3,1,A96K1ZGW56S2I,-1.0,1
A1ER5AYS3FQ9O3,1,A231WM2Z2JL0U3,-1.0,1
A1ER5AYS3FQ9O3,1,A2PQ3WXMKCT4NX,-1.0,1
A1ER5AYS3FQ9O3,1,A1IU7S4HCK1XK0,1.0,1
A1ER5AYS3FQ9O3,1,A1HCL545YWXM1S,1.0,1
A1ER5AYS3FQ9O3,1,A155YL0Y0GKUW5,1.0,1
A1ER5AYS3FQ9O3,1,A2E3CXT3CJDCUC,-1.0,1
A1ER5AYS3FQ9O3,1,A3ENX1Y48DJQVK,1.0,1
A1ER5AYS3FQ9O3,1,A22EF10EHKYULU,1.0,1
A1ER5AYS3FQ9O3,1,A3CL2MI40GZGPR,1.0,1
A1ER5AYS3FQ9O3,1,A22I55P15NSAOX,1.0,1
A1ER5AYS3FQ9O3,1,A2BH04B9G9LOYA,1.0,1
A1ER5AYS3FQ9O3,1,A31TGBP7B8YJWI,1.0,1
A1ER5AYS3FQ9O3,1,A8UY3MKZ9OHDF,-1.0,1
A1ER5AYS3FQ9O3,1,A3Q1J68QY1MZQ9,-1.0,1
A1ER5AYS3FQ9O3,1,A24WHR7YBVKRJY,-1.0,1
A1ER5AYS3FQ9O3,1,A3D822N1K2IAQD,1.0,1
A1ER5AYS3FQ9O3,1,A1SJN10JTU3BON,1.0,1
A1ER5AYS3FQ9O3,1,A1NTJYICMJZMET,1.0,1
A1ER5AYS3FQ9O3,1,AT6L0WKUPEZ3U,-1.0,1
A1ER5AYS3FQ9O3,1,A33PWO1CNL1KAP,-1.0,1
A1ER5AYS3FQ9O3,1,AW68KVDV7BBRS,-1.0,1
A1ER5AYS3FQ9O3,1,A2MOD50IHEDH3G,1.0,1
A1ER5AYS3FQ9O3,1,A3NGOG8Z78AZSD,1.0,1
A1ER5AYS3FQ9O3,1,A810PNCBZXIYJ,1.0,1
A1ER5AYS3FQ9O3,1,A1JZFGZEZVWQPY,-1.0,1
A1ER5AYS3FQ9O3,1,A23GFTVIETX7DS,1.0,1
A1ER5AYS3FQ9O3,1,AIUGQ4PNB8T6P,1.0,1
A1ER5AYS3FQ9O3,1,A1IBKN1GXYJ3K4,1.0,1
A1ER5AYS3FQ9O3,1,AOVROBZ8BNTP7,-1.0,1
A1ER5AYS3FQ9O3,1,A5LT3M5NMD9I2,-1.0,1
A1ER5AYS3FQ9O3,1,A1W4Q8AZ4OR46F,1.0,1
A1ER5AYS3FQ9O3,1,A2UQIQUOAB47OT,1.0,1
A1ER5AYS3FQ9O3,1,A1GNYV0RA0EQSS,1.0,1
A1ER5AYS3FQ9O3,1,AQOTHAIA97ZL3,1.0,1
A1ER5AYS3FQ9O3,1,A38M7PZ5DEOOCC,1.0,1
A1ER5AYS3FQ9O3,1,A1RKE1AFSORDKP,-1.0,1
A1ER5AYS3FQ9O3,1,AGA7LFNS3YUXC,0.4228854653311238,2
A1ER5AYS3FQ9O3,1,ANAKXSFY77N8C,1.0,1
A1ER5AYS3FQ9O3,1,A2ENU7RB48VUF5,1.0,1
A1ER5AYS3FQ9O3,1,A17HMM1M7T9PJ1,1.0,1
A1ER5AYS3FQ9O3,1,A3JOUBAPVLI71O,1.0,1
A1ER5AYS3FQ9O3,1,A1D34RQ7RIERSY,1.0,1
A1ER5AYS3FQ9O3,1,AWPODHOB4GFWL,1.0,2
A1ER5AYS3FQ9O3,1,A2H8ZIEKNY1Q45,-1.0,1
A1ER5AYS3FQ9O3,1,A17771LTRWSKQ5,-1.0,1
A1ER5AYS3FQ9O3,1,A1LAPFX9GDLFM1,1.0,1
A1ER5AYS3FQ9O3,1,A1MHW5V4GZ16PU,1.0,1
A1ER5AYS3FQ9O3,1,A3F5N5TZDK6BEO,1.0,1
A1ER5AYS3FQ9O3,1,A116VMZPUYEW8Y,1.0,1
A1ER5AYS3FQ9O3,1,A3GIMHTGU4M912,1.0,1
A1ER5AYS3FQ9O3,1,A2LKXDUWPIZW5D,1.0,1
A1ER5AYS3FQ9O3,1,A20UHOI8VIL687,-1.0,1
